id,spanish,english,level,partOfSpeech,imageQuery
9034,"Tengo hambre.","I am hungry.",A1,phrase,"tasty food meal plate"
9035,"Tengo sed.","I am thirsty.",A1,phrase,"glass of cold water"
9036,"¿Tienes una mesa para dos?","Do you have a table for two?",A1,phrase,"restaurant dining table"
9037,"La comida está deliciosa.","The food is delicious.",A1,phrase,"gourmet meal plate"
9038,"¿Dónde está la estación de tren?","Where is the train station?",A1,phrase,"train station platform"
9039,"El autobús llega pronto.","The bus is arriving soon.",A1,phrase,"city bus arriving stop"
9040,"Necesito un taxi.","I need a taxi.",A1,phrase,"yellow city taxi cab"
9041,"El hotel es muy cómodo.","The hotel is very comfortable.",A1,phrase,"cozy hotel room bed"
9042,"Tengo una reserva a nombre de Ana.","I have a reservation under the name Ana.",A1,phrase,"hotel checkin reception"
9043,"¿Dónde puedo comprar un billete?","Where can I buy a ticket?",A1,phrase,"ticket kiosk station"
9044,"Me gusta leer libros.","I like to read books.",A1,phrase,"open book library"
9045,"Ella escucha música alegre.","She listens to cheerful music.",A1,phrase,"girl headphones music"
9046,"Nosotros jugamos al fútbol.","We play soccer.",A1,phrase,"friends playing soccer"
9047,"Ellos estudian en la biblioteca.","They study in the library.",A1,phrase,"students studying desk"
9048,"Mi perro es muy grande.","My dog is very big.",A1,phrase,"happy big golden retriever"
9049,"Su gato es pequeño y negro.","Her cat is small and black.",A1,phrase,"cute small black kitten"
9050,"La casa tiene una puerta roja.","The house has a red door.",A1,phrase,"cozy house red door"
9051,"El coche es azul.","The car is blue.",A1,phrase,"shiny blue sedan car"
9052,"Me gusta la fruta fresca.","I like fresh fruit.",A1,phrase,"fresh colorful fruit bowl"
9053,"Bebo agua todos los días.","I drink water every day.",A1,phrase,"drinking glass of water"
9054,"El sol brilla en el cielo.","The sun shines in the sky.",A1,phrase,"bright sun cloudless sky"
9055,"La luna es brillante esta noche.","The moon is bright tonight.",A1,phrase,"full moon night sky"
9056,"Hace mucho calor en verano.","It is very hot in summer.",A1,phrase,"sunny beach palm tree"
9057,"Hace frío en invierno.","It is cold in winter.",A1,phrase,"snowy winter landscape"
9058,"La flor es hermosa.","The flower is beautiful.",A1,phrase,"colorful blooming flower"
9059,"El árbol es muy alto.","The tree is very tall.",A1,phrase,"tall green pine tree"
9060,"Camino por el parque.","I walk in the park.",A1,phrase,"walking green park path"
9061,"El mar es grande y azul.","The sea is big and blue.",A1,phrase,"calm blue ocean wave"
9062,"Me gusta nadar en la playa.","I like to swim at the beach.",A1,phrase,"swimming ocean beach"
9063,"Mi familia es muy unida.","My family is very close.",A1,phrase,"happy family hugging"
9064,"Tengo dos hermanos y una hermana.","I have two brothers and one sister.",A1,phrase,"siblings smiling group"
9065,"Mi madre cocina muy bien.","My mother cooks very well.",A1,phrase,"mother cooking kitchen"
9066,"Mi padre trabaja en un banco.","My father works in a bank.",A1,phrase,"father office worker"
9067,"Mi abuela vive en el campo.","My grandmother lives in the countryside.",A1,phrase,"grandmother countryside cottage"
9068,"Tengo un amigo muy simpático.","I have a very nice friend.",A1,phrase,"two best friends smiling"
9069,"Voy al colegio por la mañana.","I go to school in the morning.",A1,phrase,"student walking school"
9070,"La clase de español empieza a las nueve.","The Spanish class starts at nine.",A1,phrase,"classroom teacher blackboard"
9071,"Escribo en mi cuaderno.","I write in my notebook.",A1,phrase,"hand writing notebook pen"
9072,"Tengo un bolígrafo azul.","I have a blue pen.",A1,phrase,"blue ink pen"
9073,"La mesa es de madera.","The table is made of wood.",A1,phrase,"wooden dining table"
9074,"La silla es cómoda.","The chair is comfortable.",A1,phrase,"comfy armchair seat"
9075,"La ventana está abierta.","The window is open.",A1,phrase,"open window fresh air"
9076,"La puerta está cerrada.","The door is closed.",A1,phrase,"closed wooden door"
9077,"Enciendo la luz.","I turn on the light.",A1,phrase,"glowing light bulb"
9078,"Apago la televisión.","I turn off the television.",A1,phrase,"living room smart tv"
9079,"El teléfono está sonando.","The phone is ringing.",A1,phrase,"ringing smartphone screen"
9080,"Envío un mensaje de texto.","I send a text message.",A1,phrase,"hand texting smartphone"
9081,"Abro la carta.","I open the letter.",A1,phrase,"opening paper envelope"
9082,"Compro pan en la panadería.","I buy bread at the bakery.",A1,phrase,"fresh bread bakery shop"
9083,"Tomo un vaso de leche.","I drink a glass of milk.",A1,phrase,"glass of fresh milk"
9084,"Como una ensalada saludable.","I eat a healthy salad.",A1,phrase,"fresh green salad bowl"
9085,"El queso es delicioso.","The cheese is delicious.",A1,phrase,"cheese wedge board"
9086,"La sopa está caliente.","The soup is hot.",A1,phrase,"steaming bowl of soup"
9087,"El helado es de chocolate.","The ice cream is chocolate.",A1,phrase,"chocolate ice cream cone"
9088,"Lavo las manos con jabón.","I wash my hands with soap.",A1,phrase,"washing hands soap lather"
9089,"Me cepillo los dientes.","I brush my teeth.",A1,phrase,"toothbrush brushing teeth"
9090,"Me ducho por la mañana.","I shower in the morning.",A1,phrase,"clean shower water stream"
9091,"Me visto con ropa limpia.","I get dressed in clean clothes.",A1,phrase,"choosing clean clothes shirt"
9092,"Voy a dormir en la cama.","I am going to sleep in bed.",A1,phrase,"cozy pillow blanket bed"
9093,"Tengo sueño.","I am sleepy.",A1,phrase,"yawning sleepy person"
9094,"Estoy cansado después del trabajo.","I am tired after work.",A1,phrase,"tired person relaxing couch"
9095,"Estoy muy feliz hoy.","I am very happy today.",A1,phrase,"joyful smiling face"
9096,"Ella está contenta.","She is glad.",A1,phrase,"happy woman smiling"
9097,"Él está triste.","He is sad.",A1,phrase,"sad person window rain"
9098,"El día es bonito.","The day is nice.",A1,phrase,"sunny clear sky day"
9099,"La noche es tranquila.","The night is quiet.",A1,phrase,"quiet starry night house"
9100,"Camino despacio.","I walk slowly.",A1,phrase,"peaceful slow walking"
9101,"El perro corre rápido.","The dog runs fast.",A1,phrase,"fast running dog grass"
9102,"Leo el periódico.","I read the newspaper.",A1,phrase,"reading morning newspaper"
9103,"Miro una película divertida.","I watch a funny movie.",A1,phrase,"watching movie popcorn"
9104,"Escucho la radio.","I listen to the radio.",A1,phrase,"vintage radio music"
9105,"Cocino la cena.","I cook dinner.",A1,phrase,"chef cooking frying pan"
9106,"Preparo el desayuno.","I prepare breakfast.",A1,phrase,"pancakes coffee breakfast"
9107,"Limpio la habitación.","I clean the room.",A1,phrase,"cleaning house tidy bedroom"
9108,"Abro la ventana para ver el sol.","I open the window to see the sun.",A1,phrase,"sunny window view"
9109,"Cierro la caja.","I close the box.",A1,phrase,"closing cardboard box"
9110,"Busco mis llaves.","I search for my keys.",A1,phrase,"searching house keys"
9111,"Encuentro mi cartera.","I find my wallet.",A1,phrase,"holding leather wallet cash"
9112,"Pago en efectivo.","I pay in cash.",A1,phrase,"paying cash bills"
9113,"Pago con tarjeta.","I pay with card.",A1,phrase,"paying credit card terminal"
9114,"El tren es rápido.","The train is fast.",A1,phrase,"high speed train tracks"
9115,"El coche va despacio.","The car goes slowly.",A1,phrase,"car driving slow road"
9116,"La tienda está abierta.","The store is open.",A1,phrase,"open store front sign"
9117,"El museo está cerrado.","The museum is closed.",A1,phrase,"museum entrance closed"
9118,"Entro en la cafetería.","I enter the coffee shop.",A1,phrase,"cozy coffee shop entrance"
9119,"Salgo de la oficina.","I exit the office.",A1,phrase,"walking out office building"
9120,"Llego a casa a las seis.","I arrive home at six.",A1,phrase,"arriving home front door"
9121,"Llevo mi mochila.","I carry my backpack.",A1,phrase,"person wearing backpack"
9122,"Traigo una tarta de manzana.","I bring an apple pie.",A1,phrase,"fresh baked apple pie"
9123,"Tomo el autobús número cinco.","I take bus number five.",A1,phrase,"city transit bus stop"
9124,"Doy un regalo a mi amigo.","I give a gift to my friend.",A1,phrase,"giving wrapped gift box"
9125,"Amo a mi familia.","I love my family.",A1,phrase,"heart gesture family"
9126,"Me gusta el color rojo.","I like the color red.",A1,phrase,"vibrant red color heart"
9127,"Quiero una pizza de queso.","I want a cheese pizza.",A1,phrase,"slice of hot cheese pizza"
9128,"Necesito ayuda con la tarea.","I need help with homework.",A1,phrase,"studying desk homework"
9129,"Sé hablar un poco de español.","I know how to speak a little Spanish.",A1,phrase,"speaking practice Spanish"
9130,"Conozco la ciudad de Barcelona.","I know the city of Barcelona.",A1,phrase,"barcelona sagrada familia"
9131,"Pienso que es una buena idea.","I think it is a good idea.",A1,phrase,"lightbulb idea thought"
9132,"Creo que tienes razón.","I believe you are right.",A1,phrase,"nodding agreeing smile"
9133,"Espero el autobús aquí.","I wait for the bus here.",A1,phrase,"waiting at bus stop bench"
9134,"Recuerdo ese día feliz.","I remember that happy day.",A1,phrase,"cherished photo memory"
9135,"Nunca olvido tu nombre.","I never forget your name.",A1,phrase,"friendly handshake greeting"
9136,"Aprendo palabras nuevas.","I learn new words.",A1,phrase,"vocabulary book study"
9137,"La profesora enseña bien.","The teacher teaches well.",A1,phrase,"teacher explaining classroom"
9138,"Estudio español todas las tardes.","I study Spanish every afternoon.",A1,phrase,"laptop book study desk"
9139,"Trabajo de lunes a viernes.","I work Monday to Friday.",A1,phrase,"office calendar desk"
9140,"Los niños juegan en el jardín.","The children play in the garden.",A1,phrase,"kids playing garden green"
9141,"Ella canta una canción bonita.","She sings a pretty song.",A1,phrase,"singing microphone stage"
9142,"Bailamos en la fiesta.","We dance at the party.",A1,phrase,"people dancing party lights"
9143,"Nado en el mar azul.","I swim in the blue sea.",A1,phrase,"swimming ocean water"
9144,"Reímos mucho juntos.","We laugh a lot together.",A1,phrase,"friends laughing together"
9145,"El bebé llora cuando tiene hambre.","The baby cries when hungry.",A1,phrase,"cute baby crying tear"
9146,"Ella sonríe siempre.","She always smiles.",A1,phrase,"cheerful woman smiling"
9147,"Ayudo a mi vecino.","I help my neighbor.",A1,phrase,"helping neighbor carrying box"
9148,"Lavo mi ropa los sábados.","I wash my clothes on Saturdays.",A1,phrase,"laundromat washing machine"
9149,"Corto el pan con el cuchillo.","I cut the bread with the knife.",A1,phrase,"slicing fresh loaf bread"
9150,"El plato se rompe.","The plate breaks.",A1,phrase,"broken ceramic plate"
9151,"Arreglo mi bicicleta.","I fix my bicycle.",A1,phrase,"repairing bicycle wheel tool"
9152,"Organizo mis papeles.","I organize my papers.",A1,phrase,"organizing desk folders paper"
9153,"Preparo un té caliente.","I prepare hot tea.",A1,phrase,"pouring hot tea cup"
9154,"El plato está limpio.","The plate is clean.",A1,phrase,"clean white ceramic plate"
9155,"La taza está sobre la mesa.","The mug is on the table.",A1,phrase,"coffee mug wooden table"
9156,"El vaso está lleno de agua.","The glass is full of water.",A1,phrase,"glass of clear water"
9157,"Uso el tenedor para comer.","I use the fork to eat.",A1,phrase,"fork meal plate"
9158,"La cuchara es de metal.","The spoon is made of metal.",A1,phrase,"silver soup spoon"
9159,"Limpio la boca con la servilleta.","I wipe my mouth with the napkin.",A1,phrase,"paper napkin dining"
9160,"El mantel es blanco.","The tablecloth is white.",A1,phrase,"dining table white tablecloth"
9161,"La cocina es grande.","The kitchen is big.",A1,phrase,"spacious modern kitchen"
9162,"El horno está caliente.","The oven is hot.",A1,phrase,"baking oven kitchen"
9163,"La nevera tiene comida.","The refrigerator has food.",A1,phrase,"open fridge full food"
9164,"Uso la sartén para cocinar.","I use the frying pan to cook.",A1,phrase,"frying pan stove cooking"
9165,"La olla hirviendo hace sopa.","The boiling pot makes soup.",A1,phrase,"boiling pot soup stove"
9166,"El almuerzo es a la una.","Lunch is at one o'clock.",A1,phrase,"sandwich lunch plate"
9167,"La cena es a las ocho.","Dinner is at eight o'clock.",A1,phrase,"family dining table dinner"
9168,"El desayuno está listo.","Breakfast is ready.",A1,phrase,"pancakes juice breakfast"
9169,"Comemos galletas de chocolate.","We eat chocolate cookies.",A1,phrase,"chocolate chip cookies milk"
9170,"El pastel de cumpleaños es grande.","The birthday cake is big.",A1,phrase,"birthday cake candles party"
9171,"Compro mermelada de fresa.","I buy strawberry jam.",A1,phrase,"jar of strawberry jam"
9172,"La mantequilla está en la nevera.","The butter is in the fridge.",A1,phrase,"yellow butter dish"
9173,"Agrego aceite a la ensalada.","I add oil to the salad.",A1,phrase,"pouring olive oil salad"
9174,"Pongo sal en la sopa.","I put salt in the soup.",A1,phrase,"salting soup bowl"
9175,"La cebolla es blanca.","The onion is white.",A1,phrase,"fresh white onion"
9176,"El tomate es rojo y dulce.","The tomato is red and sweet.",A1,phrase,"ripe red tomatoes vine"
9177,"Las patatas son sabrosas.","The potatoes are tasty.",A1,phrase,"baked potatoes plate"
9178,"La zanahoria es naranja.","The carrot is orange.",A1,phrase,"fresh orange carrots"
9179,"La lechuga es fresca y verde.","The lettuce is fresh and green.",A1,phrase,"fresh green lettuce head"
9180,"El plátano es amarillo.","The banana is yellow.",A1,phrase,"bunch of yellow bananas"
9181,"La naranja es jugosa.","The orange is juicy.",A1,phrase,"sliced juicy orange"
9182,"El limón es ácido.","The lemon is sour.",A1,phrase,"yellow lemon slices"
9183,"Las uvas son moradas.","The grapes are purple.",A1,phrase,"purple grapes vine"
9184,"La sandía es perfecta en verano.","Watermelon is perfect in summer.",A1,phrase,"sliced fresh watermelon"
9185,"La piña es una fruta tropical.","Pineapple is a tropical fruit.",A1,phrase,"fresh whole pineapple"
9186,"Compro un abrigo para el invierno.","I buy a coat for the winter.",A1,phrase,"warm winter coat rack"
9187,"Me pongo la chaqueta roja.","I put on the red jacket.",A1,phrase,"wearing red jacket outfit"
9188,"Llevo calcetines calientes.","I wear warm socks.",A1,phrase,"cozy winter wool socks"
9189,"Las botas son de cuero.","The boots are made of leather.",A1,phrase,"pair of leather boots"
9190,"Llevo gafas de sol en la playa.","I wear sunglasses at the beach.",A1,phrase,"wearing sunglasses beach"
9191,"El espejo está en el baño.","The mirror is in the bathroom.",A1,phrase,"bathroom wall mirror"
9192,"Uso la toalla limpia.","I use the clean towel.",A1,phrase,"folded clean bath towel"
9193,"El jabón huele muy bien.","The soap smells very nice.",A1,phrase,"bar of scented soap"
9194,"La almohada es muy suave.","The pillow is very soft.",A1,phrase,"soft white bed pillow"
9195,"La manta es bastante cálida.","The blanket is quite warm.",A1,phrase,"cozy warm knit blanket"
9196,"El sofá es grande y azul.","The sofa is big and blue.",A1,phrase,"living room blue sofa"
9197,"La lámpara está encendida.","The lamp is turned on.",A1,phrase,"table reading lamp glowing"
9198,"Las cortinas son elegantes.","The curtains are elegant.",A1,phrase,"window long curtains elegance"
9199,"Subo las escaleras despacio.","I walk up the stairs slowly.",A1,phrase,"climbing wooden stairs"
9200,"Uso el ascensor para subir.","I use the elevator to go up.",A1,phrase,"modern elevator doors"
9201,"La primavera trae muchas flores.","Spring brings many flowers.",A1,phrase,"spring blooming garden"
9202,"El verano es soleado y cálido.","Summer is sunny and warm.",A1,phrase,"sunny summer beach day"
9203,"El otoño cae hojas doradas.","Autumn drops golden leaves.",A1,phrase,"autumn golden leaves path"
9204,"El invierno trae nieve blanca.","Winter brings white snow.",A1,phrase,"snowy winter village trees"
9205,"Enero es el primer mes del año.","January is the first month of the year.",A1,phrase,"january calendar page"
9206,"El domingo me descanso en casa.","On Sunday I rest at home.",A1,phrase,"cozy sunday morning home"
9207,"Nos vemos esta noche a las siete.","See you tonight at seven.",A1,phrase,"evening city lights meet"
9208,"Vivo cerca del centro comercial.","I live near the shopping mall.",A1,phrase,"neighborhood houses near mall"
9209,"La playa está lejos de mi ciudad.","The beach is far from my city.",A1,phrase,"distant horizon ocean beach"
9210,"La caja está dentro de la casa.","The box is inside the house.",A1,phrase,"cardboard box inside room"
9211,"Los niños juegan fuera al aire libre.","The children play outside in the open air.",A1,phrase,"kids playing outdoor grass"
9212,"Me acuesto temprano todas las noches.","I go to bed early every night.",A2,phrase,"person going bed night"
9213,"Se levanta a las siete de la mañana.","He gets up at seven in the morning.",A2,phrase,"person getting out bed morning"
9214,"Nos duchamos después de hacer ejercicio.","We shower after exercising.",A2,phrase,"shower water stream"
9215,"Ellos se bañan en el lago limpio.","They take a bath in the clean lake.",A2,phrase,"swimming clean lake"
9216,"Me visto con una camisa azul y pantalones.","I get dressed in a blue shirt and pants.",A2,phrase,"person dressing shirt outfit"
9217,"Ella se peina frente al espejo.","She combs her hair in front of the mirror.",A2,phrase,"woman combing hair mirror"
9218,"Mi hermano se afeita cada mañana.","My brother shaves every morning.",A2,phrase,"man shaving beard mirror"
9219,"Se maquilla antes de salir a la fiesta.","She puts on makeup before going out to the party.",A2,phrase,"woman applying makeup"
9220,"Me despierto con el sonido del reloj.","I wake up with the sound of the alarm.",A2,phrase,"alarm clock waking up"
9221,"El niño se duerme rápido.","The child falls asleep quickly.",A2,phrase,"child sleeping cozy bed"
9222,"Por favor, siéntate en esta silla.","Please, sit down in this chair.",A2,phrase,"sitting armchair comfortable"
9223,"Nos levantamos para saludar al profesor.","We stand up to greet the teacher.",A2,phrase,"students standing greeting"
9224,"Prefiero quedarme en casa este fin de semana.","I prefer to stay at home this weekend.",A2,phrase,"cozy house living room"
9225,"Ellos se van mañana por la mañana.","They are leaving tomorrow morning.",A2,phrase,"travelers leaving airport suitcases"
9226,"No me acuerdo de su nombre.","I do not remember his name.",A2,phrase,"person trying remember thought"
9227,"Se enfermó durante el viaje de vacaciones.","He fell sick during the vacation trip.",A2,phrase,"sick person hotel bed"
9228,"El médico ayuda a curar al paciente.","The doctor helps heal the patient.",A2,phrase,"doctor examining patient clinic"
9229,"Él se queja del ruido de la calle.","He complains about the street noise.",A2,phrase,"annoyed person hands on ears"
9230,"Nos divertimos mucho en el parque.","We have a lot of fun in the park.",A2,phrase,"friends having fun laughing"
9231,"El estudiante se aburre en la clase larga.","The student gets bored in the long class.",A2,phrase,"bored student desk classroom"
9232,"Mi madre se preocupa cuando llego tarde.","My mother worries when I arrive late.",A2,phrase,"mother worried waiting clock"
9233,"Me relajo escuchando música suave.","I relax listening to soft music.",A2,phrase,"person relaxing headphones park"
9234,"El corredor se cansa después de diez kilómetros.","The runner gets tired after ten kilometers.",A2,phrase,"tired runner resting track"
9235,"El gato se asusta con el trueno.","The cat gets scared of the thunder.",A2,phrase,"scared kitten hiding"
9236,"Ellos se enamoraron en la universidad.","They fell in love in college.",A2,phrase,"romantic couple walking park"
9237,"Se casan el próximo mes de junio.","They are getting married next month in June.",A2,phrase,"wedding couple bride groom"
9238,"Nos mudamos a una casa más grande.","We are moving to a bigger house.",A2,phrase,"moving truck boxes house"
9239,"Me acostumbro rápido al nuevo clima.","I get used to the new climate quickly.",A2,phrase,"sunny city street walking"
9240,"Casi todos se equivocan al principio.","Almost everyone makes a mistake at first.",A2,phrase,"person pencil erasing mistake"
9241,"Ella se sorprende con la fiesta secreta.","She is surprised by the secret party.",A2,phrase,"surprised woman party confetti"
9242,"Llegamos al aeropuerto dos horas antes.","We arrive at the airport two hours early.",A2,phrase,"airport departures terminal"
9243,"El tren sale de la estación a las cuatro.","The train leaves the station at four.",A2,phrase,"train departing platform"
9244,"Esperamos el autobús en la parada.","We wait for the bus at the stop.",A2,phrase,"bus stop passengers waiting"
9245,"El barco llega al puerto al atardecer.","The ship arrives at the harbor at sunset.",A2,phrase,"ship harbor sunset"
9246,"Compro un billete de ida y vuelta.","I buy a round trip ticket.",A2,phrase,"travel ticket passport"
9247,"Muestro mi pasaje en la puerta de embarque.","I show my boarding pass at the gate.",A2,phrase,"airline boarding pass ticket"
9248,"Llevamos dos maletas pesadas.","We carry two heavy suitcases.",A2,phrase,"suitcases travel airport"
9249,"Guardo la cámara en mi mochila.","I keep the camera in my backpack.",A2,phrase,"hiking backpack camera"
9250,"Ella lleva un bolso elegante.","She carries an elegant handbag.",A2,phrase,"stylish woman handbag"
9251,"Miramos el mapa para encontrar el museo.","We look at the map to find the museum.",A2,phrase,"tourists reading city map"
9252,"La guía turística explica la historia.","The tourist guide explains the history.",A2,phrase,"tour guide leading group"
9253,"Hacemos una excursión a las montañas.","We make an excursion to the mountains.",A2,phrase,"hikers mountain excursion"
9254,"El vuelo tiene un retraso de una hora.","The flight has a delay of one hour.",A2,phrase,"flight delay board airport"
9255,"La salida es a las cinco de la tarde.","Departure is at five in the afternoon.",A2,phrase,"airport departure sign"
9256,"La llegada se espera a medianoche.","Arrival is expected at midnight.",A2,phrase,"airplane landing night"
9257,"Pasamos por la aduana sin problemas.","We go through customs without problems.",A2,phrase,"airport customs control"
9258,"Tengo que renovar mi pasaporte.","I have to renew my passport.",A2,phrase,"passport book stamps"
9259,"Necesitas un visado para entrar al país.","You need a visa to enter the country.",A2,phrase,"passport visa stamp entry"
9260,"Reservamos una habitación en el hotel.","We reserve a room in the hotel.",A2,phrase,"hotel lobby reception desk"
9261,"Pedimos la llave en la recepción.","We ask for the key at reception.",A2,phrase,"hotel receptionist keycard"
9262,"Queremos una habitación doble con vista.","We want a double room with a view.",A2,phrase,"hotel double bedroom window"
9263,"El ascensor del hotel sube rápido.","The hotel elevator goes up fast.",A2,phrase,"modern hotel elevator hall"
9264,"Los niños nadan en la piscina.","The children swim in the pool.",A2,phrase,"swimming pool resort kids"
9265,"Hago ejercicio en el gimnasio.","I exercise in the gym.",A2,phrase,"gym fitness workout"
9266,"Cenamos en un restaurante italiano.","We have dinner at an Italian restaurant.",A2,phrase,"restaurant table dining pizza"
9267,"El camarero nos trae el menú.","The waiter brings us the menu.",A2,phrase,"waiter bringing menu table"
9268,"Pedimos el menú del día.","We order the menu of the day.",A2,phrase,"restaurant blackboard menu"
9269,"Pedimos la cuenta al final.","We ask for the bill at the end.",A2,phrase,"restaurant receipt check"
9270,"Dejamos una propina generosa.","We leave a generous tip.",A2,phrase,"cash tip table restaurant"
9271,"El plato principal es pescado con patatas.","The main course is fish with potatoes.",A2,phrase,"gourmet fish meal plate"
9272,"De entrada pedimos una ensalada.","For appetizer we order a salad.",A2,phrase,"fresh salad starter plate"
9273,"El postre del día es tarta de queso.","The dessert of the day is cheesecake.",A2,phrase,"cheesecake dessert slice"
9274,"Bebemos zumo de naranja fresco.","We drink fresh orange juice.",A2,phrase,"glass fresh orange juice"
9275,"El vino tinto es muy sabroso.","The red wine is very tasty.",A2,phrase,"glass of red wine bottle"
9276,"Preferimos tomar agua mineral fría.","We prefer to drink cold mineral water.",A2,phrase,"mineral water bottle glass"
9277,"Tomamos café con leche por la mañana.","We drink coffee with milk in the morning.",A2,phrase,"cup latte coffee saucer"
9278,"Pongo dos cubos de hielo en la bebida.","I put two ice cubes in the drink.",A2,phrase,"glass ice cubes beverage"
9279,"El pan fresco huele riquísimo.","Fresh bread smells delicious.",A2,phrase,"loaf fresh bakery bread"
9280,"Servimos sopa caliente en invierno.","We serve hot soup in winter.",A2,phrase,"steaming soup bowl spoon"
9281,"Pedimos una ración de tortilla española.","We order a portion of Spanish omelette.",A2,phrase,"spanish potato omelette slice"
9282,"El queso manchego es bastante famoso.","Manchego cheese is quite famous.",A2,phrase,"manchego cheese wedge grapes"
9283,"Probamos las tapas en el bar.","We try the tapas at the bar.",A2,phrase,"assorted spanish tapas bar"
9284,"Hacemos la compra en el supermercado.","We do the shopping at the supermarket.",A2,phrase,"supermarket shopping cart"
9285,"Compro pantalones en la tienda de ropa.","I buy pants at the clothing store.",A2,phrase,"clothing boutique racks"
9286,"Probamos zapatos en la zapatería.","We try shoes at the shoe store.",A2,phrase,"shoe store display sneakers"
9287,"Compramos pasteles en la panadería.","We buy pastries at the bakery.",A2,phrase,"bakery shop pastries display"
9288,"Compro carne en la carnicería.","I buy meat at the butcher shop.",A2,phrase,"butcher shop fresh meat"
9289,"El pescado fresco está en la pescadería.","Fresh fish is at the fish market.",A2,phrase,"fresh fish market stall"
9290,"Compramos fruta madura en la frutería.","We buy ripe fruit at the fruit shop.",A2,phrase,"fruit store colorful apples"
9291,"La farmacia de guardia abre toda la noche.","The duty pharmacy opens all night.",A2,phrase,"pharmacy green cross night"
9292,"Compro una novela en la librería.","I buy a novel at the bookstore.",A2,phrase,"bookstore bookshelf novels"
9293,"Compramos cuadernos en la papelería.","We buy notebooks at the stationery shop.",A2,phrase,"stationery notebooks pens"
9294,"Paseamos por el centro comercial.","We stroll through the shopping mall.",A2,phrase,"shopping mall interior atrium"
9295,"Saco dinero del cajero automático.","I withdraw money from the ATM.",A2,phrase,"using ATM machine cash"
9296,"Voy al banco a abrir una cuenta.","I go to the bank to open an account.",A2,phrase,"bank entrance office"
9297,"Envío un paquete en la oficina de correos.","I send a package at the post office.",A2,phrase,"post office counter parcel"
9298,"La comisaría está cerca de la plaza.","The police station is near the square.",A2,phrase,"police station car exterior"
9299,"Llevan al enfermo al hospital.","They take the sick person to the hospital.",A2,phrase,"ambulance hospital entrance"
9300,"Tengo una cita en la clínica médica.","I have an appointment at the medical clinic.",A2,phrase,"doctor clinic office desk"
9301,"Voy al dentista una vez al año.","I go to the dentist once a year.",A2,phrase,"dentist exam chair smile"
9302,"El veterinario cura al perro.","The vet heals the dog.",A2,phrase,"veterinarian examining dog"
9303,"Me corto el pelo en la peluquería.","I get a haircut at the hair salon.",A2,phrase,"hairdresser cutting hair salon"
